node_id,labor,income,longitude,latitude,elevation
B1,0.040,0.040,0.0,2.0,-0.10
B2,0.050,0.050,1.0,3.0,-0.65
B3,0.060,0.060,3.0,3.4,0.00
B4,0.060,0.060,5.0,3.2,0.65
B5,0.050,0.050,6.0,2.5,0.20
B6,0.050,0.050,5.5,1.3,-0.65
B7,0.050,0.050,4.0,0.8,0.00
B8,0.050,0.050,2.0,0.7,0.65
B9,0.040,0.040,0.5,1.0,0.20
C1,0.110,0.120,2.2,2.0,-0.75
C2,0.110,0.120,4.1,2.0,0.75
N1,0.040,0.045,6.4,2.8,-0.35
N2,0.035,0.040,6.3,1.8,0.35
H1,0.055,0.065,7.0,3.2,-0.55
H2,0.075,0.090,8.0,3.2,-0.20
H3,0.075,0.090,8.6,2.6,0.45
H4,0.065,0.075,8.0,2.0,0.60
H5,0.055,0.065,7.0,2.0,0.20
E1,0.010,0.010,7.2,3.9,-0.70
E2,0.010,0.010,8.3,3.8,0.65
L1A,0.015,0.012,1.4,0.2,-0.60
L1B,0.010,0.008,1.3,-1.4,-0.65
L2A,0.015,0.012,2.6,0.1,0.60
L2B,0.010,0.008,2.6,-1.5,0.65
L3A,0.015,0.012,4.0,0.1,-0.60
L3B,0.010,0.008,4.0,-1.5,-0.65
L4A,0.015,0.012,5.1,0.4,0.60
L4B,0.010,0.008,5.2,-1.3,0.65
T1,0.010,0.008,-0.5,2.7,0.20
T2,0.008,0.006,-1.2,3.2,0.55
